Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ih4   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   39   RS vKEN   W(97-88)  0  1  1934   6  10   5   6   1   4   2   2   0   0   4   4   1   2  0  3  3   5  2  1  15  10   2   9  84  75   18    7   0   2   1   0  A
   Jc4   39   RS vKEN   W(97-88)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ec2   39   RS vKEN   W(97-88)  0  0   693   1   1   1   1   0   0   2   2   0   0   1   1   0   0  2  1  3   0  0  1   4   2   0  -2  23  25    2    0   0   0   0   1  A
   Ej5   39   RS vKEN   W(97-88)  0  1  2400   6  15   5   9   1   6   1   2   0   0   1   3   4   6  1  1  2  22  1  1  14   3   3   9  97  88   52   36   0   1   1   0  A
   Jg1   39   RS vKEN   W(97-88)  0  0   466   1   1   1   1   0   0   0   0   0   0   0   0   1   1  1  0  1   0  1  0   2   0   2   0  13  13    2    1   1   0   0   0  A
   Ia2   39   RS vKEN   W(97-88)  0  1  2400  11  22  10  20   1   2   1   4   0   0   8  11   2   9  4 13 17   0  0  2  24  17   2   9  97  88   24    0   0   0   2   0  A
   Ie9   47   RS vBRE   L(86-94)  0  1  2400   9  18   8  15   1   3   2   4   0   0   7  12   1   3  2 13 15   1  1  2  21  15   0  -8  86  94   22    2   1   0   1   1  A
   He5   47   RS vBRE   L(86-94)  0  0    43   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  1  0   0   0   0  -4   3   7    0    0   0   1   0   0  A
   Hi3   47   RS vBRE   L(86-94)  0  0   557   1   3   1   2   0   1   0   0   0   0   0   1   1   1  0  1  1   1  0  0   2   0   0   3  20  17    7    4   0   0   0   0  A
  Kj10   47   RS vBRE   L(86-94)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
