Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ia3   33   RS vLAT   W(99-76)  0  0  1264   3   5   3   5   0   0   2   2   0   0   2   3   1   2  0  5  5   2  0  1   8   6   2  19  55  36    8    2   0   0   1   0  A
   Fi3   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Kf2   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1   41   RS vWIL   W(77-74)  0  1  1286   1   6   0   4   1   2   2   2   0   0   0   2   0   2  2  1  3   2  3  1   5   2   5  -5  42  47   10    3   1   2   1   0  A
  He10   41   RS vWIL   W(77-74)  0  0   948   2   5   2   4   0   1   2   2   0   1   1   3   1   1  4  4  8   1  3  1   6   4   0   7  31  24    8    2   3   0   1   0  A
   Ie8   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   41   RS vWIL   W(77-74)  0  0  1471   5  10   4   6   1   4   3   4   0   0   2   2   2   4  1  8  9   1  0  2  14   7   3   6  42  36   13    1   0   0   2   0  A
   Ja3   41   RS vWIL   W(77-74)  0  1  2400  10  24   9  22   1   2   3   6   0   0   8  16   1   6  2  8 10   0  0  3  24  19   0   3  77  74   27    0   0   0   3   0  A
  Kc11   41   RS vWIL   W(77-74)  0  1  1736   4   8   4   8   0   0   0   0   0   0   1   2   3   6  3  7 10   0  3  0   8   2   0  -7  57  64    8    0   3   0   0   0  A
   Ji7   41   RS vWIL   W(77-74)  0  1  2400   6  12   5   8   1   4   2   2   0   0   4   5   1   3  0  2  2  10  1  1  15   8   5   3  77  74   42   29   1   0   0   1  A
   Jc5   41   RS vWIL   W(77-74)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Fj3   41   RS vWIL   W(77-74)  0  1  1095   1   6   1   4   0   2   0   0   0   0   0   1   1   3  0  2  2   1  1  0   2   0   2  -2  39  41   10    4   0   1   0   0  A
   Ia3   41   RS vWIL   W(77-74)  0  0   664   0   4   0   4   0   0   3   4   0   0   0   1   0   3  1  5  6   0  1  2   3   3   2  10  20  10    7    1   1   0   2   0  A
   Fi3   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Kf2   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   If1   43   RS @WIL W(111-101)  0  1  2400   9  16   5  10   4   6   3   5   0   0   1   1   4   9  0  6  6  11  1  2  25   2   0  10 111 101   35   17   0   1   0   2  A
  He10   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ie8   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Eg6   43   RS @WIL W(111-101)  0  0   612   1   4   1   4   0   0   0   0   0   0   0   1   1   3  0  0  0   1  0  0   2   0   0 -11  22  33    5    1   0   0   0   0  A
   Ja3   43   RS @WIL W(111-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
  Kc11   43   RS @WIL W(111-101)  0  1  2388  13  22  13  22   0   0   5   8   1   1  10  16   3   6  7  4 11   0  4  4  31  24   2  11 109  98   27    1   2   2   3   1  A
